XM_006557405.3	LOC551555	LOC551555
XM_006557404.3	LOC551555	LOC551555
XM_006557406.3	LOC551555	LOC551555
XM_623949.6	LOC551555	LOC551555
XM_026439913.1	Rfwd3	Rfwd3
NM_001242554.1	Rfwd3	Rfwd3
XM_016917662.2	LOC551448	LOC551448
XM_026440071.1	LOC551448	LOC551448
XM_016917667.2	LOC551448	LOC551448
XM_006557400.3	LOC551448	LOC551448
XM_016917672.2	LOC551448	LOC551448
XM_392111.7	LOC408567	LOC408567
XM_016910856.2	LOC107964061	LOC107964061
XM_016910851.2	LOC107964061	LOC107964061
XM_026443867.1	LOC113219112	LOC113219112
XM_006557392.2	LOC726450	LOC726450
XM_392109.6	LOC408565	LOC408565
XM_006557391.3	LOC408565	LOC408565
XM_016910832.2	LOC408565	LOC408565
XM_026446104.1	LOC113219398	LOC113219398
NR_127369.1	Mir2b	Mir2b
Mir2b	Mir2b	Mir2b
XM_026446225.1	LOC551203	LOC551203
XM_026446227.1	LOC551203	LOC551203
XM_026446228.1	LOC551203	LOC551203
XM_026446229.1	LOC551203	LOC551203
XM_026446230.1	LOC551203	LOC551203
XM_026446226.1	LOC551203	LOC551203
XM_026446232.1	LOC551203	LOC551203
XM_026446233.1	LOC551203	LOC551203
XM_026446234.1	LOC551203	LOC551203
XM_026446237.1	LOC551203	LOC551203
XM_026446235.1	LOC551203	LOC551203
XM_026446236.1	LOC551203	LOC551203
XM_026446231.1	LOC551203	LOC551203
XM_001120565.5	LOC726446	LOC726446
XM_016918148.2	LOC410771	LOC410771
XM_016918144.2	LOC410771	LOC410771
XM_006557369.3	LOC410771	LOC410771
XM_016918147.2	LOC410771	LOC410771
XM_006557372.3	LOC410771	LOC410771
XM_006557374.3	LOC102654047	LOC102654047
XR_001706027.2	LOC107965716	LOC107965716
XM_394245.6	LOC410769	LOC410769
XM_016916693.2	LOC410769	LOC410769
XR_003306183.1	LOC113219286	LOC113219286
XM_001122476.5	LOC726756	LOC726756
XR_407471.3	LOC726756	LOC726756
XR_407453.3	Nedd9	Nedd9
NM_001204751.1	Nedd9	Nedd9
